no_test,fakultas,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,total_pendapatan,pendapatan_class,jumlah_tanggungan,kepemilikan_rumah,kendaraan,sekolah,listrik,Penghasilan perkapita,ukt
423694251,3,7.0,1.0,1500000.0,0.0,8,1,5.0,1,3,4.0,1,1,2.0
423691309,7,9.0,1.0,2000000.0,0.0,8,1,5.0,2,3,1.0,2,1,2.0
423688129,3,7.0,1.0,1500000.0,0.0,8,1,6.0,2,3,1.0,1,1,2.0
423686416,7,14.0,5.0,0.0,4476200.0,8,6,4.0,2,3,1.0,3,6,3.0
423685541,5,11.0,1.0,2000000.0,0.0,8,1,5.0,1,3,1.0,2,1,2.0
423684779,7,6.0,1.0,7000000.0,0.0,8,6,6.0,4,4,3.0,3,6,5.0
423684490,7,5.0,1.0,3300000.0,0.0,8,3,5.0,4,3,1.0,1,3,3.0
423682479,7,5.0,1.0,5891900.0,0.0,8,8,2.0,3,5,4.0,3,8,6.0
423681992,8,11.0,1.0,5400000.0,0.0,8,4,6.0,5,4,5.0,2,4,8.0
423679797,8,7.0,1.0,4000000.0,0.0,8,3,6.0,1,3,4.0,2,3,7.0
423678984,8,9.0,1.0,3000000.0,0.0,8,2,5.0,3,4,2.0,1,2,4.0
423678775,7,9.0,5.0,3000000.0,3700000.0,8,8,3.0,4,3,1.0,3,8,5.0
423678668,2,11.0,10.0,1000000.0,1000000.0,8,1,5.0,4,2,3.0,1,1,3.0
423678625,7,9.0,1.0,10000000.0,0.0,8,8,3.0,7,8,1.0,3,8,7.0
423678046,8,13.0,7.0,0.0,500000.0,2,1,4.0,2,3,1.0,1,1,1.0
423677802,10,14.0,5.0,2000000.0,3901500.0,8,8,4.0,7,3,4.0,3,8,8.0
423677234,9,9.0,1.0,1000000.0,0.0,5,1,5.0,4,1,2.0,2,1,1.0
423676999,4,3.0,5.0,1000000.0,4563200.0,8,7,4.0,3,3,5.0,1,7,7.0
423675900,9,9.0,5.0,2000000.0,3845100.0,8,8,4.0,3,3,4.0,1,8,5.0
423675575,2,3.0,1.0,1500000.0,0.0,8,1,4.0,2,3,2.0,1,1,1.0
423672401,1,9.0,1.0,4800000.0,0.0,8,5,5.0,5,3,1.0,2,5,3.0
423672079,2,5.0,5.0,3074000.0,3375000.0,8,8,4.0,7,5,4.0,2,8,7.0
423668496,7,9.0,14.0,5000000.0,0.0,8,6,4.0,5,4,5.0,2,6,6.0
423665448,8,5.0,1.0,3233834.0,0.0,8,2,5.0,1,4,3.0,1,2,4.0
423665366,9,1.0,6.0,0.0,1750000.0,8,1,4.0,1,1,5.0,3,1,3.0
423665153,3,6.0,1.0,6400000.0,0.0,8,5,6.0,6,4,3.0,3,5,6.0
423664564,2,6.0,5.0,2500000.0,4619900.0,8,8,4.0,7,3,4.0,3,8,7.0
423663537,8,3.0,7.0,1700000.0,600000.0,8,1,5.0,4,1,5.0,3,1,6.0
423662842,4,3.0,1.0,1500000.0,0.0,8,1,4.0,1,3,2.0,2,1,3.0
423662783,5,14.0,5.0,13761860.0,4601072.0,8,8,6.0,7,8,1.0,4,8,8.0
423661953,1,12.0,5.0,4500000.0,4300200.0,8,7,7.0,6,6,4.0,3,7,5.0
423661922,7,14.0,14.0,500000.0,1250000.0,8,2,3.0,2,3,1.0,1,2,2.0
423661778,2,6.0,1.0,10900000.0,0.0,8,8,4.0,5,4,5.0,3,8,7.0
423661536,5,9.0,1.0,2.0,0.0,1,1,8.0,1,3,3.0,3,1,1.0
423659523,3,7.0,1.0,45000000.0,0.0,8,8,1.0,8,8,5.0,5,8,8.0
423659484,8,10.0,1.0,5000000.0,0.0,8,8,3.0,7,6,5.0,3,8,8.0
423659437,7,6.0,14.0,1500000.0,2000000.0,8,4,4.0,1,3,4.0,3,4,4.0
423658776,1,5.0,6.0,0.0,4200000.0,8,8,2.0,6,3,5.0,3,8,3.0
423658666,2,11.0,1.0,0.0,0.0,1,1,4.0,1,4,4.0,2,1,2.0
423657791,5,10.0,1.0,4000000.0,0.0,8,5,4.0,4,4,4.0,2,5,6.0
423657471,2,5.0,6.0,10611400.0,2974393.0,8,8,1.0,3,4,1.0,5,8,6.0
423657294,8,11.0,7.0,50000.0,1500000.0,8,1,4.0,5,3,1.0,2,1,3.0
423655611,9,5.0,1.0,7695100.0,0.0,8,8,4.0,5,4,3.0,2,8,8.0
423654545,9,11.0,1.0,1000000.0,0.0,5,1,5.0,3,3,2.0,1,1,2.0
423653373,8,14.0,1.0,15000000.0,0.0,8,8,5.0,7,6,5.0,4,8,8.0
423652569,4,14.0,5.0,1500000.0,4000000.0,8,8,2.0,5,4,3.0,2,8,7.0
423652077,2,11.0,1.0,2500000.0,0.0,8,1,6.0,1,3,4.0,1,1,2.0
423651770,7,6.0,5.0,54000000.0,3797400.0,8,8,4.0,8,4,5.0,3,8,8.0
423651463,7,9.0,1.0,17500000.0,0.0,8,8,7.0,8,6,5.0,5,8,7.0
423650140,4,9.0,1.0,1000000.0,0.0,5,1,3.0,1,3,1.0,1,1,2.0
423650051,3,14.0,5.0,1000000.0,4898100.0,8,5,6.0,4,3,4.0,2,5,5.0
423647001,7,12.0,5.0,0.0,4000000.0,8,8,2.0,3,3,1.0,2,8,4.0
423645861,8,5.0,13.0,5000000.0,0.0,8,8,2.0,5,3,4.0,3,8,7.0
423645610,8,11.0,1.0,3100000.0,0.0,8,5,3.0,4,4,3.0,3,5,7.0
423644875,10,6.0,1.0,3000000.0,0.0,8,5,3.0,4,4,4.0,2,5,4.0
423643433,1,5.0,5.0,5579800.0,4167800.0,8,8,5.0,6,4,4.0,2,8,6.0
423643219,5,12.0,1.0,4500000.0,0.0,8,4,5.0,4,4,1.0,2,4,7.0
423643017,4,7.0,1.0,3000000.0,0.0,8,2,6.0,3,3,5.0,3,2,6.0
423641893,5,14.0,7.0,0.0,1000000.0,5,1,5.0,3,4,1.0,1,1,2.0
423640536,4,9.0,1.0,2000000.0,0.0,8,3,3.0,4,1,3.0,2,3,3.0
423640284,5,9.0,5.0,2000000.0,5414100.0,8,8,4.0,4,4,3.0,2,8,7.0
423640114,7,13.0,5.0,0.0,3601600.0,8,4,4.0,6,5,1.0,3,4,4.0
423639557,7,9.0,1.0,25000000.0,0.0,8,8,4.0,8,7,5.0,3,8,7.0
423639362,3,12.0,5.0,3000000.0,1710000.0,8,6,4.0,7,6,4.0,2,6,7.0
423639180,8,11.0,1.0,2000000.0,0.0,8,1,5.0,1,3,4.0,2,1,1.0
423638583,9,6.0,1.0,5000000.0,0.0,8,4,6.0,7,4,1.0,2,4,5.0
423637217,9,6.0,1.0,14000000.0,0.0,8,8,6.0,1,3,4.0,3,8,8.0
423637068,2,6.0,13.0,3500000.0,0.0,8,6,3.0,1,3,2.0,2,6,6.0
423636536,7,11.0,5.0,5000000.0,4000000.0,8,8,3.0,5,4,4.0,3,8,6.0
423635807,8,11.0,1.0,3500000.0,0.0,8,3,5.0,1,3,3.0,2,3,3.0
423635490,1,13.0,5.0,0.0,10284291.0,8,8,3.0,7,6,5.0,3,8,1.0
423635384,4,11.0,13.0,1500000.0,0.0,8,2,3.0,4,4,4.0,2,2,5.0
423635328,4,7.0,1.0,1500000.0,0.0,8,1,4.0,3,4,3.0,2,1,3.0
423635172,7,12.0,5.0,4300000.0,4500000.0,8,7,7.0,4,3,1.0,2,7,4.0
423633038,9,13.0,1.0,0.0,1000000.0,5,2,2.0,4,3,1.0,2,2,3.0
423631485,1,2.0,1.0,2500000.0,0.0,8,2,4.0,1,4,4.0,2,2,2.0
423631025,2,11.0,1.0,500000.0,0.0,2,1,4.0,4,4,1.0,2,1,3.0
423629223,2,6.0,9.0,2000000.0,1500000.0,8,6,3.0,1,3,1.0,2,6,4.0
423629127,8,5.0,5.0,7004533.0,5900000.0,8,8,4.0,7,4,2.0,3,8,7.0
423628358,8,9.0,1.0,1500000.0,0.0,8,1,6.0,6,3,3.0,1,1,8.0
423626367,9,14.0,5.0,500000.0,4888400.0,8,8,1.0,4,4,2.0,3,8,6.0
423626211,3,5.0,5.0,4500000.0,5400000.0,8,8,4.0,1,7,4.0,3,8,7.0
423625573,4,14.0,1.0,1000000.0,0.0,5,1,6.0,1,3,3.0,2,1,3.0
423625179,2,9.0,6.0,1500000.0,2700000.0,8,8,2.0,2,1,1.0,2,8,6.0
423624891,6,13.0,14.0,0.0,1338000.0,7,1,3.0,3,3,2.0,1,1,1.0
423622533,10,9.0,1.0,1800000.0,0.0,8,1,5.0,2,3,4.0,2,1,3.0
423622346,4,3.0,1.0,1000000.0,0.0,5,2,2.0,2,3,3.0,1,2,2.0
423622281,2,3.0,5.0,500000.0,3743100.0,8,8,3.0,2,1,1.0,2,8,6.0
423620630,7,13.0,3.0,0.0,2.0,1,1,5.0,1,3,1.0,1,1,1.0
423619610,3,5.0,1.0,5179000.0,0.0,8,8,2.0,4,3,1.0,2,8,5.0
423618744,9,11.0,1.0,3500000.0,0.0,8,4,4.0,1,4,4.0,3,4,3.0
423618665,2,7.0,1.0,1000000.0,0.0,5,1,3.0,1,1,1.0,1,1,1.0
423617609,5,9.0,13.0,2000000.0,0.0,8,1,5.0,7,4,2.0,3,1,6.0
423617464,4,13.0,5.0,1400000.0,4259600.0,8,6,5.0,1,3,4.0,2,6,6.0
423617249,8,10.0,1.0,3000000.0,0.0,8,3,4.0,5,4,5.0,2,3,7.0
423616736,3,14.0,1.0,5293658.0,0.0,8,3,7.0,4,2,1.0,2,3,4.0
423616491,8,9.0,7.0,2000000.0,500000.0,8,6,2.0,5,3,3.0,4,6,6.0
423616323,5,11.0,1.0,1800000.0,0.0,8,1,4.0,3,3,1.0,1,1,1.0
423616173,8,12.0,5.0,4362100.0,4776200.0,8,8,3.0,3,3,3.0,1,8,7.0
423616079,5,12.0,5.0,1470566.0,1967679.0,8,4,4.0,6,3,4.0,2,4,7.0
423615911,5,9.0,14.0,10000000.0,0.0,8,8,2.0,7,4,3.0,3,8,8.0
423615779,4,14.0,5.0,3000000.0,5000000.0,8,8,5.0,6,4,2.0,2,8,7.0
231710081091,8,5.0,1.0,6902458.0,0.0,8,5,7.0,8,8,4.0,5,5,8.0
423615276,8,5.0,1.0,6902458.0,0.0,8,5,7.0,8,8,4.0,5,5,8.0
423615232,1,12.0,1.0,7091900.0,0.0,8,8,4.0,7,6,3.0,4,8,7.0
423615140,7,11.0,1.0,9320000.0,0.0,8,8,5.0,1,3,4.0,4,8,5.0
423613295,4,14.0,1.0,5000000.0,0.0,8,8,2.0,1,3,4.0,3,8,7.0
423612427,4,5.0,5.0,3909700.0,4704100.0,8,8,5.0,1,6,1.0,2,8,8.0
423612356,5,7.0,1.0,1500000.0,0.0,8,3,2.0,1,3,4.0,2,3,4.0
423611322,5,5.0,1.0,2354500.0,0.0,8,1,5.0,1,3,5.0,2,1,7.0
423610989,5,1.0,5.0,0.0,5916100.0,8,8,4.0,5,6,1.0,4,8,7.0
423610013,2,6.0,1.0,4800000.0,0.0,8,6,4.0,5,3,4.0,2,6,6.0
423609639,7,11.0,1.0,1000000.0,0.0,5,1,4.0,3,1,3.0,2,1,2.0
231710101280,2,6.0,1.0,3126658.0,0.0,8,5,3.0,4,4,4.0,2,5,6.0
423609572,2,6.0,1.0,3126658.0,0.0,8,5,3.0,4,4,4.0,2,5,6.0
423607892,10,6.0,1.0,3450229.0,0.0,8,4,4.0,4,4,3.0,1,4,6.0
423607697,7,9.0,9.0,4000000.0,2000000.0,8,8,3.0,4,4,4.0,3,8,5.0
423607477,5,5.0,5.0,5698400.0,5007600.0,8,8,4.0,7,5,3.0,3,8,8.0
423607066,9,11.0,1.0,1500000.0,0.0,8,1,6.0,1,1,3.0,1,1,2.0
423606968,8,11.0,14.0,3200000.0,0.0,8,8,2.0,1,3,3.0,2,8,7.0
423605613,10,6.0,1.0,12000000.0,0.0,8,8,7.0,7,6,1.0,4,8,8.0
423605212,10,9.0,5.0,1000000.0,4000000.0,8,8,3.0,4,6,1.0,2,8,6.0
423603036,3,5.0,1.0,5000000.0,0.0,8,4,6.0,8,3,1.0,3,4,6.0
423602597,1,5.0,1.0,5655900.0,0.0,8,6,5.0,3,6,3.0,2,6,3.0
423602285,4,3.0,3.0,2500000.0,2500000.0,8,5,5.0,2,6,2.0,2,5,2.0
423601321,4,6.0,6.0,1500000.0,1500000.0,8,5,3.0,2,3,3.0,2,5,6.0
423600819,4,6.0,1.0,3515000.0,0.0,8,8,2.0,1,3,2.0,1,8,5.0
423600086,2,5.0,5.0,4500000.0,3698500.0,8,8,2.0,5,3,5.0,2,8,6.0
423600077,4,7.0,1.0,2000000.0,0.0,8,5,2.0,7,3,4.0,2,5,6.0
423599828,8,5.0,14.0,3901500.0,1500000.0,8,8,3.0,8,4,1.0,3,8,8.0
423599292,2,3.0,1.0,2000000.0,0.0,8,2,4.0,3,2,2.0,2,2,2.0
423599283,2,9.0,3.0,2000000.0,1500000.0,8,8,2.0,2,3,4.0,1,8,4.0
423597523,9,6.0,1.0,2000000.0,0.0,8,1,5.0,1,3,2.0,2,1,3.0
423596059,9,3.0,3.0,500000.0,200000.0,3,1,2.0,2,3,1.0,2,1,2.0
423594245,9,11.0,1.0,1500000.0,0.0,8,1,4.0,1,3,2.0,2,1,2.0
423593258,8,11.0,1.0,3321000.0,0.0,8,2,6.0,3,3,1.0,2,2,3.0
423592899,3,9.0,1.0,1500000.0,0.0,8,1,5.0,1,3,1.0,1,1,1.0
423591954,1,5.0,5.0,5220300.0,5190300.0,8,8,7.0,6,6,5.0,2,8,6.0
423590638,9,3.0,3.0,1000000.0,500000.0,8,1,7.0,2,1,5.0,1,1,1.0
423590500,2,5.0,1.0,2000000.0,0.0,8,2,4.0,2,1,1.0,2,2,3.0
423590477,8,9.0,1.0,3000000.0,0.0,8,2,5.0,5,3,4.0,3,2,6.0
423589607,10,9.0,6.0,3500000.0,6000000.0,8,8,3.0,4,3,3.0,2,8,8.0
423587473,1,5.0,5.0,928000.0,4476200.0,8,8,3.0,7,4,4.0,2,8,4.0
423586815,3,5.0,1.0,10000000.0,0.0,8,8,6.0,1,5,4.0,4,8,6.0
423586726,4,12.0,5.0,2608000.0,3150000.0,8,8,1.0,7,4,5.0,2,8,7.0
423586028,3,11.0,1.0,2800000.0,0.0,8,2,5.0,1,3,4.0,3,2,2.0
423586002,2,9.0,1.0,2000000.0,0.0,8,3,3.0,4,3,4.0,2,3,5.0
423583974,8,9.0,1.0,15000000.0,0.0,8,8,5.0,3,3,5.0,1,8,8.0
423583084,4,5.0,5.0,5916100.0,4545000.0,8,8,4.0,8,5,5.0,1,8,8.0
423582905,7,6.0,1.0,3424914.0,0.0,8,6,3.0,4,4,4.0,1,6,5.0
423582158,2,6.0,1.0,3000000.0,0.0,8,3,4.0,4,4,4.0,2,3,6.0
423581430,6,1.0,7.0,0.0,500000.0,2,1,3.0,4,3,1.0,2,1,1.0
423581106,1,14.0,1.0,2000000.0,0.0,8,5,2.0,3,3,1.0,2,5,2.0
423580971,10,6.0,5.0,4200000.0,4200000.0,8,8,5.0,6,5,4.0,3,8,7.0
423580613,7,6.0,1.0,5514209.0,0.0,8,4,6.0,7,4,4.0,4,4,5.0
423580543,10,6.0,1.0,3000000.0,0.0,8,3,4.0,1,3,1.0,3,3,2.0
423580038,5,14.0,1.0,2770000.0,0.0,8,4,3.0,1,4,4.0,2,4,6.0
423579808,2,14.0,7.0,1000000.0,1600000.0,8,2,4.0,2,3,2.0,2,2,2.0
423577955,8,6.0,14.0,6412500.0,500.0,8,8,4.0,3,3,4.0,2,8,6.0
423577801,3,6.0,1.0,7805400.0,0.0,8,8,4.0,3,4,3.0,3,8,6.0
423576201,10,11.0,1.0,1000000.0,0.0,5,1,7.0,3,3,1.0,1,1,3.0
423576131,4,7.0,1.0,3000000.0,0.0,8,8,1.0,3,3,1.0,2,8,5.0
423575816,7,5.0,5.0,5276500.0,4286300.0,8,7,7.0,5,3,1.0,2,7,5.0
423575620,4,5.0,5.0,5151100.0,4173700.0,8,8,4.0,5,4,5.0,1,8,8.0
423575471,4,5.0,1.0,4769400.0,0.0,8,8,2.0,7,3,5.0,2,8,8.0
423575366,10,9.0,14.0,10000000.0,0.0,8,8,6.0,8,1,5.0,5,8,8.0
423573909,4,3.0,1.0,1500000.0,0.0,8,2,3.0,3,3,5.0,2,2,7.0
423573876,3,5.0,1.0,4000000.0,0.0,8,7,3.0,4,3,4.0,3,7,6.0
423573293,4,7.0,5.0,750000.0,4456300.0,8,4,6.0,4,3,1.0,2,4,7.0
423572548,9,11.0,1.0,1000000.0,0.0,5,1,3.0,3,3,2.0,2,1,2.0
423572514,2,6.0,1.0,2700000.0,0.0,8,4,3.0,1,3,4.0,2,4,6.0
423572250,10,6.0,1.0,7000000.0,0.0,8,6,6.0,5,3,5.0,4,6,8.0
423572235,2,11.0,11.0,1750000.0,500000.0,8,2,4.0,3,3,3.0,1,2,3.0
423571837,10,11.0,1.0,3000000.0,0.0,8,5,3.0,1,3,4.0,2,5,6.0
423571381,4,11.0,14.0,1500000.0,0.0,8,1,5.0,2,1,2.0,1,1,2.0
423570312,9,6.0,7.0,4000000.0,500000.0,8,3,6.0,1,3,1.0,3,3,4.0
423570302,9,6.0,1.0,2877440.0,0.0,8,3,4.0,7,4,4.0,2,3,5.0
423570014,1,5.0,1.0,4300000.0,0.0,8,4,5.0,7,3,4.0,3,4,5.0
423569293,10,9.0,5.0,20000000.0,9000000.0,8,8,1.0,8,8,5.0,4,8,8.0
423569231,2,13.0,1.0,0.0,500000.0,2,1,2.0,2,3,1.0,4,1,1.0
423568772,5,3.0,1.0,1000000.0,0.0,5,1,3.0,3,3,1.0,2,1,3.0
423568457,5,9.0,1.0,20000000.0,0.0,8,8,3.0,6,7,5.0,3,8,8.0
423567980,4,11.0,13.0,1500000.0,0.0,8,2,3.0,1,3,4.0,2,2,3.0
423567649,9,5.0,5.0,6895000.0,4500000.0,8,8,4.0,7,4,4.0,4,8,8.0
423567370,1,3.0,1.0,1000000.0,0.0,5,1,4.0,3,5,2.0,3,1,2.0
423566604,9,6.0,1.0,2700000.0,0.0,8,4,3.0,2,3,2.0,2,4,4.0
423565639,10,12.0,1.0,0.0,0.0,1,1,3.0,4,6,4.0,2,1,5.0
423564805,2,3.0,3.0,2000000.0,1590900.0,8,1,8.0,1,1,1.0,1,1,3.0
423564408,2,3.0,1.0,1500000.0,0.0,8,3,2.0,3,3,1.0,2,3,4.0
423563577,9,6.0,1.0,4000000.0,0.0,8,5,4.0,4,3,4.0,3,5,6.0
423563057,4,9.0,1.0,2500000.0,0.0,8,4,3.0,1,4,5.0,3,4,3.0
423562236,9,6.0,5.0,2300000.0,4667800.0,8,8,4.0,7,3,5.0,2,8,8.0
423562108,5,9.0,1.0,4000000.0,0.0,8,3,6.0,8,6,4.0,5,3,8.0
423562064,2,6.0,1.0,4680000.0,0.0,8,4,5.0,3,3,3.0,3,4,6.0
423560564,8,6.0,6.0,3000000.0,1500000.0,8,6,4.0,1,6,5.0,1,6,7.0
423559856,4,9.0,1.0,1500000.0,0.0,8,2,3.0,3,4,3.0,2,2,4.0
423559684,9,3.0,1.0,1000000.0,0.0,5,1,5.0,1,1,2.0,1,1,1.0
423559548,4,6.0,1.0,3000000.0,0.0,8,5,3.0,1,3,2.0,1,5,6.0
423558040,9,11.0,1.0,2500000.0,0.0,8,4,3.0,2,1,2.0,2,4,4.0
423557848,2,3.0,3.0,500000.0,0.0,2,1,5.0,3,4,1.0,2,1,1.0
423556174,5,6.0,6.0,12935000.0,4000000.0,8,8,1.0,7,6,5.0,3,8,8.0
423555830,4,9.0,1.0,20000000.0,0.0,8,8,4.0,7,4,5.0,2,8,8.0
423555700,8,5.0,9.0,8500000.0,100000000.0,8,8,4.0,8,8,5.0,5,8,8.0
423555665,6,11.0,14.0,0.0,640000.0,2,2,1.0,1,1,2.0,1,2,1.0
423555027,5,5.0,6.0,10000000.0,10000000.0,8,8,3.0,1,8,5.0,5,8,8.0
423554556,4,11.0,1.0,1500000.0,0.0,8,1,4.0,3,4,4.0,4,1,4.0
423554084,3,6.0,1.0,4852560.0,0.0,8,8,2.0,3,4,4.0,1,8,5.0
423553221,7,9.0,1.0,22000000.0,0.0,8,8,6.0,8,4,2.0,3,8,7.0
423553212,10,5.0,6.0,7000000.0,40000000.0,8,8,6.0,8,7,5.0,3,8,8.0
423551962,4,7.0,11.0,2000000.0,700000.0,8,7,2.0,1,1,4.0,1,7,3.0
423551909,7,5.0,5.0,13500000.0,3500000.0,8,8,3.0,8,8,5.0,4,8,8.0
423551576,8,11.0,1.0,500.0,0.0,1,1,5.0,1,3,1.0,2,1,1.0
423551425,2,6.0,1.0,2500000.0,0.0,8,2,4.0,4,4,2.0,2,2,5.0
423551194,3,11.0,1.0,1200000.0,0.0,6,2,2.0,4,4,3.0,2,2,4.0
423551161,2,5.0,1.0,15653641.0,0.0,8,8,3.0,7,8,5.0,2,8,8.0
423548224,8,3.0,14.0,1000000.0,0.0,5,2,2.0,2,5,2.0,2,2,4.0
423547668,2,3.0,3.0,900000.0,400000.0,7,1,4.0,2,3,4.0,2,1,2.0
423547338,4,9.0,1.0,2500000.0,0.0,8,4,3.0,4,3,4.0,1,4,4.0
423547321,2,11.0,1.0,2000000.0,0.0,8,3,3.0,4,3,2.0,2,3,3.0
423546069,2,6.0,1.0,3500000.0,0.0,8,2,6.0,1,3,2.0,1,2,2.0
423545010,4,3.0,1.0,750000.0,0.0,3,1,3.0,3,3,3.0,1,1,1.0
423544348,3,9.0,1.0,5000000.0,0.0,8,8,2.0,4,4,3.0,4,8,6.0
423543732,2,3.0,1.0,2000000.0,0.0,8,1,5.0,4,3,5.0,2,1,5.0
423542736,4,5.0,1.0,10000000.0,0.0,8,8,3.0,6,6,1.0,3,8,7.0
423542239,1,9.0,1.0,5000000.0,0.0,8,8,2.0,7,4,4.0,4,8,7.0
423541987,2,3.0,14.0,750000.0,0.0,3,1,3.0,3,3,4.0,2,1,2.0
423541170,2,3.0,14.0,800000.0,600000.0,7,1,5.0,3,3,4.0,2,1,2.0
423540985,3,6.0,1.0,2777190.0,0.0,8,4,3.0,4,3,1.0,3,4,4.0
423539721,9,7.0,1.0,3500000.0,0.0,8,2,6.0,1,3,4.0,3,2,4.0
423538535,7,5.0,1.0,3500000.0,0.0,8,4,4.0,4,3,4.0,2,4,3.0
423537864,7,9.0,1.0,6852500.0,0.0,8,8,4.0,5,4,5.0,3,8,6.0
423537476,8,6.0,1.0,34047003.0,0.0,8,8,3.0,7,7,4.0,3,8,8.0
423537242,8,7.0,1.0,2000000.0,0.0,8,3,3.0,5,3,2.0,2,3,3.0
423537099,4,5.0,5.0,4831000.0,3423900.0,8,8,4.0,3,4,1.0,2,8,8.0
423537090,4,9.0,1.0,3500000.0,0.0,8,6,3.0,1,3,3.0,1,6,6.0
423536886,10,12.0,1.0,10000000.0,0.0,8,8,4.0,8,8,5.0,4,8,8.0
423536653,7,14.0,6.0,1500000.0,1000000.0,8,4,3.0,1,3,3.0,2,4,1.0
423536545,5,3.0,3.0,1500000.0,500000.0,8,1,5.0,5,4,1.0,1,1,5.0
423536291,4,11.0,1.0,2000000.0,0.0,8,3,3.0,2,3,2.0,2,3,2.0
423535946,2,14.0,7.0,1300000.0,200000.0,8,1,5.0,4,3,3.0,3,1,3.0
423535189,2,6.0,1.0,24695000.0,0.0,8,8,4.0,7,3,4.0,3,8,8.0
423535187,4,5.0,5.0,5459900.0,3725900.0,8,8,3.0,7,6,4.0,3,8,8.0
423535025,10,6.0,7.0,1347797.0,200000.0,8,1,4.0,5,3,5.0,2,1,4.0
423532425,8,12.0,6.0,3422300.0,968426.0,8,4,5.0,5,4,4.0,3,4,6.0
423531301,8,13.0,10.0,0.0,1500000.0,8,8,1.0,1,3,3.0,3,8,3.0
423528677,8,9.0,9.0,4000000.0,4000000.0,8,8,3.0,5,3,4.0,2,8,7.0
423528282,8,1.0,6.0,0.0,4680000.0,8,3,7.0,1,3,2.0,2,3,1.0
423528269,9,13.0,14.0,0.0,5000000.0,8,8,1.0,7,7,4.0,3,8,8.0
423527981,6,12.0,5.0,3044800.0,4250600.0,8,8,3.0,4,3,4.0,2,8,8.0
423527213,8,6.0,1.0,6000000.0,0.0,8,8,4.0,1,1,5.0,4,8,8.0
423527203,2,5.0,1.0,0.0,0.0,1,1,4.0,3,7,5.0,3,1,6.0
423527066,7,6.0,1.0,13000000.0,0.0,8,8,2.0,8,7,4.0,3,8,7.0
423526078,4,5.0,1.0,4478300.0,0.0,8,3,6.0,1,4,3.0,3,3,6.0
423525615,1,9.0,5.0,4000000.0,3843500.0,8,7,6.0,3,7,4.0,2,7,3.0
423525007,4,1.0,1.0,0.0,0.0,1,1,2.0,1,1,1.0,1,1,1.0
423524707,8,6.0,13.0,3133800.0,0.0,8,8,2.0,3,3,1.0,2,8,6.0
423523441,7,5.0,1.0,7781300.0,0.0,8,8,3.0,8,6,4.0,4,8,8.0
423523170,8,5.0,1.0,5590300.0,0.0,8,6,5.0,5,4,4.0,1,6,7.0
423522253,1,9.0,1.0,4000000.0,0.0,8,7,3.0,3,3,3.0,3,7,7.0
423521686,6,6.0,1.0,2780000.0,0.0,8,3,4.0,3,4,1.0,2,3,1.0
423521463,4,13.0,3.0,0.0,2000000.0,8,2,4.0,1,3,1.0,3,2,2.0
423521395,10,11.0,11.0,500000.0,0.0,2,2,1.0,5,4,2.0,1,2,2.0
423519371,2,2.0,1.0,1000000.0,0.0,5,1,3.0,2,4,3.0,2,1,3.0
423518942,4,14.0,1.0,1689000.0,0.0,8,2,3.0,1,3,3.0,3,2,3.0
423518822,7,3.0,3.0,1500000.0,500000.0,8,2,4.0,3,3,3.0,2,2,3.0
423518316,4,3.0,3.0,700000.0,700000.0,7,1,4.0,1,1,1.0,1,1,2.0
423515580,8,6.0,1.0,3500000.0,0.0,8,6,3.0,5,4,4.0,3,6,6.0
423514918,5,6.0,1.0,6711170.0,0.0,8,8,4.0,3,3,1.0,3,8,8.0
423513330,4,3.0,1.0,650000.0,0.0,2,1,5.0,1,3,2.0,2,1,2.0
423513065,9,11.0,1.0,2500000.0,0.0,8,2,4.0,1,3,2.0,2,2,2.0
423511865,4,11.0,1.0,2500000.0,0.0,8,4,3.0,5,3,4.0,3,4,4.0
423511362,4,3.0,5.0,2000000.0,4500000.0,8,7,5.0,3,3,5.0,2,7,8.0
423510300,7,6.0,1.0,33000000.0,0.0,8,8,3.0,8,7,1.0,5,8,8.0
423508820,2,3.0,3.0,1500000.0,1000000.0,8,2,5.0,1,1,2.0,1,2,1.0
423508649,5,11.0,1.0,2000000.0,0.0,8,3,3.0,3,3,1.0,3,3,2.0
423508582,9,11.0,5.0,1000000.0,4667800.0,8,8,2.0,5,6,5.0,3,8,8.0
423508558,8,7.0,1.0,1700000.0,0.0,8,1,4.0,1,3,4.0,2,1,5.0
423508082,7,5.0,14.0,4746000.0,0.0,8,6,4.0,1,4,3.0,1,6,4.0
423507970,5,7.0,1.0,5000000.0,0.0,8,6,4.0,4,3,5.0,4,6,6.0
423507879,2,3.0,1.0,1500000.0,0.0,8,3,2.0,4,4,1.0,2,3,3.0
423507707,3,6.0,14.0,4000000.0,1000000.0,8,8,3.0,1,3,3.0,2,8,4.0
423507238,9,3.0,1.0,1300000.0,0.0,7,1,3.0,3,3,1.0,2,1,2.0
423507203,5,9.0,1.0,26000000.0,0.0,8,8,4.0,1,6,1.0,5,8,8.0
423506171,4,5.0,5.0,4954735.0,3886500.0,8,8,6.0,5,5,2.0,4,8,8.0
423505607,3,11.0,13.0,1500000.0,0.0,8,2,3.0,2,4,2.0,3,2,2.0
423504473,7,11.0,14.0,1500000.0,0.0,8,2,3.0,2,4,2.0,2,2,3.0
