no_test,fakultas,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,total_pendapatan,pendapatan_class,jumlah_tanggungan,kepemilikan_rumah,kendaraan,sekolah,listrik,penghasilan,pajak_mobil,pajak_motor,ukt
231710021060,8,9.0,14.0,1000000,1500000,8,2,5,4,3,70000,2,4,0.0,150000,4
231710030717,8,11.0,14.0,2000000,2500000,8,8,1,4,4,150000,3,8,0.0,300000,6
231710030730,8,9.0,1.0,2350000,0,8,1,5,3,3,980000,2,1,0.0,400000,6
231710040835,8,6.0,1.0,2500000,0,8,2,4,4,3,100000,3,6,0.0,170000,5
231710041461,8,11.0,7.0,2400000,1500000,8,5,4,5,3,280000,2,7,0.0,200000,6
231710050605,8,9.0,1.0,2000000,0,8,1,5,3,3,0,2,3,0.0,300,5
231710060033,8,3.0,1.0,1500000,0,8,1,4,2,3,0,1,1,0.0,151000,3
231710060790,8,9.0,1.0,2500000,0,8,1,6,3,5,100000,2,2,0.0,150000,4
231710060841,8,5.0,5.0,5000000,4000000,8,8,4,4,3,0,2,8,1200000.0,243000,8
231710061030,8,6.0,1.0,6300000,0,8,5,6,3,3,0,3,8,0.0,40000,7
231710041464,5,10.0,14.0,100000000,38000000,8,8,5,8,8,1900000,3,8,10000000.0,500000,8
231710050412,5,13.0,9.0,0,18000000,8,8,3,8,6,7900000,5,8,3200000.0,0,8
231710070106,8,9.0,1.0,3000000,0,8,2,5,7,3,150000,3,3,0.0,255000,6
231710050421,5,9.0,1.0,7500000,0,8,8,5,8,6,400000,4,8,2500000.0,0,8
231710070336,8,13.0,1.0,0,1000000,5,2,2,2,1,0,1,1,0.0,0,2
231710070480,8,7.0,1.0,2000000,0,8,1,5,4,3,100000,2,1,0.0,150000,5
231710070685,8,11.0,5.0,800000,4699900,8,7,4,4,4,450000,2,8,0.0,200000,7
231710070858,8,5.0,10.0,5539600,1000000,8,8,4,4,3,0,2,8,0.0,140000,7
231710071140,8,7.0,7.0,2500000,2500000,8,3,7,1,3,0,2,5,0.0,190000,4
231710080419,8,1.0,5.0,1500000,5756100,8,8,4,6,6,1950000,3,8,1700000.0,235000,8
231710080513,8,14.0,1.0,6093432,0,8,8,3,1,4,275000,3,8,0.0,500000,7
231710081062,8,5.0,1.0,13354313,0,8,8,5,5,1,450000,3,3,0.0,0,8
231710090575,8,9.0,14.0,3000000,0,8,1,7,2,1,0,1,1,0.0,0,4
231710091260,8,9.0,1.0,5000000,0,8,5,5,7,6,200000,3,5,2500000.0,300000,7
231710101210,8,6.0,1.0,30000000,0,8,8,4,7,6,300000,3,8,1500000.0,180000,8
231710110029,8,9.0,1.0,6000000,0,8,8,3,7,3,100000,4,8,2000000.0,200000,8
231710110148,8,8.0,1.0,6000000,0,8,6,5,8,6,550000,3,6,2200000.0,200000,8
231710130076,8,14.0,1.0,6000000,0,8,8,4,5,6,1200000,3,8,2300000.0,350000,8
231710130139,8,7.0,1.0,5000000,0,8,5,5,5,3,80000,3,6,0.0,350000,7
231710141186,8,5.0,5.0,4005000,5220700,8,8,5,7,4,150000,3,8,2950600.0,500000,8
231710150139,8,6.0,1.0,7500000,0,8,8,5,8,3,450000,4,8,0.0,370000,8
231710170058,8,12.0,1.0,3500000,0,8,6,3,4,4,0,2,6,0.0,350000,5
231710170102,8,6.0,7.0,5600000,500000,8,8,3,5,4,200000,2,8,0.0,600000,7
231710021349,4,5.0,5.0,5600900,5287200,8,8,5,5,6,0,3,8,2500000.0,400000,8
231710050344,4,5.0,5.0,5452200,3670806,8,8,3,3,4,110000,2,8,0.0,300000,8
231710180184,8,6.0,1.0,3699439,0,8,3,5,1,3,0,2,3,0.0,200000,4
231810070192,4,5.0,1.0,5174800,0,8,4,6,7,3,60000,4,4,2157800.0,367500,7
231710180832,8,10.0,1.0,4000000,0,8,5,4,5,4,485000,4,5,0.0,200000,6
233630120036,4,3.0,1.0,2000000,0,8,5,2,3,3,650000,2,5,0.0,218000,5
231920030417,4,5.0,1.0,344521,0,1,1,2,1,1,190000,1,1,0.0,0,2
231710210832,8,11.0,1.0,14300000,0,8,8,5,4,3,1350000,3,8,0.0,350000,8
231710240250,8,7.0,1.0,800000,0,3,1,4,1,1,0,2,1,0.0,0,2
231710260811,8,5.0,1.0,3711000,0,8,4,4,1,3,0,1,4,0.0,250000,4
231811020006,8,6.0,14.0,2500000,1000000,8,2,6,3,3,60000,2,3,0.0,180500,4
231710011412,4,7.0,1.0,1500000,0,8,1,5,1,3,350000,1,3,0.0,200000,5
231710180776,4,11.0,1.0,1000000,0,5,1,8,2,4,0,1,1,0.0,300000,2
231710050587,4,9.0,5.0,1500000,5000000,8,8,3,4,3,0,2,8,0.0,250000,7
231710020934,4,3.0,1.0,1000000,0,5,1,4,1,1,0,1,1,0.0,0,1
231710050699,4,11.0,14.0,3100000,0,8,3,4,1,4,280000,2,3,0.0,175000,4
231710020935,4,14.0,5.0,1500000,3700000,8,7,4,1,3,0,2,7,0.0,0,6
231710060951,4,12.0,6.0,3500000,1500000,8,4,6,5,6,1200000,3,4,1615200.0,0,8
231710080969,4,3.0,1.0,4000000,0,8,7,3,5,4,0,2,7,0.0,367000,7
231710131180,4,3.0,1.0,1290000,0,7,1,6,2,3,20000,2,1,0.0,200000,2
231710060560,5,5.0,14.0,6000000,12000000,8,8,3,8,6,450000,5,8,4500000.0,160000,8
231710070501,5,9.0,1.0,8000000,0,8,8,3,8,3,1200000,3,8,1800000.0,140000,8
231710070778,5,5.0,5.0,4300000,4474900,8,8,5,5,6,0,2,8,1800000.0,200000,8
231710070830,5,6.0,6.0,3000000,3312670,8,5,6,4,3,75000,1,5,0.0,200000,7
231710070884,5,11.0,1.0,3050000,0,8,8,2,3,4,200000,3,8,0.0,364500,6
231710071071,5,5.0,1.0,4707400,0,8,8,3,7,7,450000,3,8,2500000.0,0,8
231710071099,5,7.0,1.0,2500000,0,8,4,3,4,3,0,2,4,1000000.0,300000,6
231710071165,5,5.0,1.0,3474000,0,8,3,5,1,3,0,2,7,0.0,146000,6
231710080084,5,7.0,1.0,1500000,0,8,2,3,1,1,50000,2,2,0.0,0,2
231710080475,5,7.0,1.0,7000000,0,8,8,4,4,3,0,2,8,0.0,300000,6
231710080778,5,6.0,1.0,7500000,0,8,5,7,7,3,445000,3,5,0.0,250000,7
231710080851,5,9.0,1.0,5000000,0,8,6,4,1,7,0,3,6,3000000.0,300000,7
231710080931,5,11.0,1.0,3300000,0,8,1,7,3,3,0,1,1,0.0,150000,4
231710080940,5,6.0,1.0,10665960,0,8,8,5,7,3,450000,3,8,0.0,250000,8
231710080972,5,9.0,1.0,6000000,0,8,6,5,8,7,300000,4,6,3800000.0,0,8
231710081040,5,5.0,5.0,4581800,2000000,8,7,5,3,1,450000,2,3,0.0,197000,6
231710081327,5,5.0,6.0,7859400,4500000,8,8,2,5,6,450000,3,8,1753000.0,300000,8
231710090594,5,14.0,7.0,6729602,1500000,8,8,3,2,4,275000,2,8,0.0,505000,7
231710090650,5,5.0,1.0,13500000,0,8,8,5,7,6,1200000,4,8,2000000.0,0,8
231710090845,5,3.0,1.0,2000000,0,8,2,4,2,4,150000,1,2,0.0,250000,5
231710091107,5,9.0,1.0,10000000,0,8,8,4,8,5,450000,3,8,2500000.0,250000,8
231710100543,5,9.0,1.0,13000000,0,8,8,4,7,6,700000,4,8,2400000.0,500000,8
231710100641,5,14.0,1.0,7995090,0,8,7,6,1,3,758000,3,7,0.0,200000,8
231710110785,5,14.0,13.0,2000000,0,8,5,2,1,1,200000,1,5,0.0,0,4
231710120258,5,12.0,9.0,3000000,10000000,8,8,2,8,8,2000000,4,8,5000000.0,600000,8
231710120811,5,14.0,11.0,20000000,3000000,8,8,3,8,7,1500000,4,8,3000000.0,0,8
231710121269,5,13.0,6.0,0,3014000,8,2,5,1,3,500000,3,6,0.0,188500,6
231710130748,5,6.0,5.0,3688000,5220300,8,8,4,4,4,83333,3,8,0.0,427000,8
231710140091,5,6.0,5.0,2000000,5278000,8,6,6,1,3,85000,3,6,0.0,170000,7
231710140195,5,6.0,1.0,3000000,0,8,5,3,2,3,280000,3,5,0.0,350000,4
231710141119,5,13.0,14.0,0,700000,3,1,2,4,4,175000,3,1,0.0,270000,3
231710141211,5,11.0,1.0,3000000,0,8,2,6,1,2,700000,4,2,0.0,0,8
231710150239,5,13.0,7.0,0,10000000,8,8,5,1,6,667000,2,8,1200000.0,0,8
231710151198,5,14.0,14.0,17000000,14000000,8,8,3,8,8,1200000,5,8,3000000.0,190000,8
231710160777,5,9.0,14.0,10000000,20000000,8,8,6,7,4,0,2,8,1400000.0,200000,8
231710161172,5,6.0,1.0,10746463,0,8,8,5,7,3,450000,3,8,1600000.0,179000,8
231710170773,5,10.0,1.0,20000000,0,8,8,6,8,8,1900000,5,8,4000000.0,0,8
231710180153,5,5.0,5.0,5356900,4345400,8,8,4,7,6,450000,3,8,1765000.0,400000,8
231710180246,5,5.0,5.0,4500000,3000000,8,5,7,5,3,27700,3,5,0.0,400000,8
231710180759,5,9.0,5.0,2000000,5256700,8,8,4,7,6,450000,5,8,1500000.0,115000,8
231710190851,5,1.0,5.0,0,5925400,8,8,3,7,4,70000,2,8,0.0,250000,7
231710061434,5,9.0,1.0,15000000,0,8,8,1,8,8,1400000,2,8,10000000.0,200000,8
231710200782,5,14.0,1.0,15800000,0,8,8,6,7,4,700000,4,8,2096000.0,470500,8
231710220756,4,12.0,5.0,0,3467700,8,8,2,5,3,0,2,8,0.0,0,7
231710210232,5,5.0,14.0,5000000,9283172,8,8,2,8,7,0,3,8,2083000.0,700009,8
231710220007,5,11.0,1.0,1500000,0,8,1,7,1,1,200000,3,1,0.0,0,2
231710220049,5,11.0,1.0,4641854,0,8,4,5,1,3,100000,3,4,0.0,250000,3
231710220165,5,9.0,1.0,12000000,0,8,8,5,7,3,995000,5,8,0.0,350000,8
231710230084,5,12.0,5.0,4500000,4000000,8,8,4,7,6,1200000,3,8,2300750.0,149000,8
231710230142,4,11.0,1.0,2000000,0,8,2,4,1,3,0,1,2,0.0,250000,2
231710250229,5,1.0,5.0,0,5550500,8,6,5,8,6,300000,3,6,3000000.0,150000,8
231710031235,4,5.0,14.0,5000000,300000,8,7,4,4,3,0,3,7,2500000.0,300000,8
231710041248,4,7.0,1.0,2000000,0,8,1,5,3,3,0,2,1,0.0,180000,3
231710250779,5,11.0,1.0,1000000,0,5,1,5,1,3,450000,2,1,0.0,150000,2
231710150094,4,5.0,1.0,3807300,0,8,8,2,4,4,1650000,2,8,2080250.0,190000,8
231710150113,4,11.0,1.0,2500000,0,8,4,3,2,3,0,2,4,0.0,125000,3
231710200218,4,11.0,1.0,1500000,0,8,1,5,1,3,0,1,1,0.0,200000,1
231710080540,4,11.0,1.0,3845874,0,8,3,5,1,4,0,1,3,0.0,300000,3
231810030063,5,7.0,14.0,2000000,2000000,8,5,4,3,3,70000,3,5,0.0,0,6
231920050450,5,6.0,1.0,4700000,0,8,4,5,1,3,400000,3,4,0.0,250000,7
233111240203,5,14.0,1.0,10333616,0,8,8,3,8,4,0,5,7,0.0,400000,8
233111280299,5,6.0,13.0,5700000,0,8,8,4,7,4,0,3,8,0.0,900000,7
233210011210,5,5.0,1.0,50237497,0,8,8,4,7,7,750000,4,8,4070000.0,522500,8
231710081089,4,11.0,1.0,1500000,0,8,1,4,2,3,0,2,1,0.0,216000,2
233210150405,5,6.0,14.0,11200000,0,8,8,4,7,7,200000,3,8,3500000.0,300000,8
233210200942,5,6.0,5.0,19737067,4000000,8,8,4,7,1,260000,4,8,4000000.0,250000,8
233210210291,5,14.0,1.0,58329009,0,8,8,4,8,8,100000,4,8,10000000.0,0,8
231710060950,1,14.0,5.0,18000000,12000000,8,8,5,8,8,500000,5,8,3500000.0,300000,7
231210160985,7,14.0,1.0,8570000,0,8,8,5,1,3,550000,3,8,3000000.0,250000,5
231310220183,7,6.0,1.0,9900000,0,8,8,7,1,3,350000,1,8,0.0,135000,4
231331010070,7,6.0,14.0,8000000,0,8,7,6,3,4,1500000,1,7,0.0,150000,6
231420140192,7,13.0,14.0,0,3000000,8,2,6,5,3,125000,2,2,0.0,200000,3
231510020365,7,6.0,1.0,24000000,0,8,8,6,7,4,300000,3,8,4000000.0,400000,7
231510190389,7,14.0,1.0,22000000,0,8,8,3,7,8,75000,4,8,6000000.0,350000,8
231210031375,5,9.0,1.0,1500000,0,8,1,6,1,3,240000,1,1,0.0,225000,4
231710010114,7,3.0,1.0,4000000,0,8,3,5,7,6,300000,3,3,1500000.0,3490000,6
231210220172,5,3.0,1.0,4500000,0,8,3,6,3,4,400000,1,3,0.0,2000000,6
231210260134,5,13.0,6.0,0,3825000,8,3,5,1,1,410000,1,3,0.0,0,6
231310080918,5,9.0,1.0,10000000,0,8,8,3,2,3,750000,2,8,0.0,714010,8
231710010176,7,7.0,1.0,3000000,0,8,1,7,4,6,0,2,1,2500000.0,160000,4
231710010287,7,11.0,1.0,2000000,0,8,2,4,1,1,450000,3,2,0.0,0,2
231210021226,10,14.0,5.0,4000000,4500000,8,8,5,1,4,75000,1,8,0.0,500000,8
231330120086,5,7.0,1.0,3800000,0,8,4,4,4,3,120000,3,4,0.0,130000,7
231710010372,7,3.0,14.0,2000000,0,8,1,5,3,3,0,1,1,0.0,250000,2
231710010469,7,6.0,1.0,15000000,0,8,8,4,6,4,200000,3,8,0.0,400000,6
231331060191,5,6.0,1.0,3500000,0,8,4,4,5,4,135000,3,4,0.0,350000,7
231410081124,5,1.0,5.0,0,3339600,8,3,5,1,5,100000,2,3,0.0,600000,6
231420140149,5,6.0,1.0,4200000,0,8,7,3,1,4,150000,2,7,0.0,283900,7
231510060236,5,9.0,7.0,6000000,3000000,8,8,3,4,4,50000,3,8,0.0,1300000,8
231710011268,7,6.0,5.0,3500000,4286300,8,8,2,5,4,100000,3,8,0.0,150000,6
231510200309,5,12.0,5.0,2452300,3455383,8,6,5,7,3,0,3,6,0.0,2500000,7
231710010677,5,6.0,5.0,4469476,5450600,8,8,4,7,6,150000,3,8,1000000.0,0,8
231710020600,7,5.0,1.0,4456300,0,8,6,4,3,4,220000,2,6,0.0,150000,5
231710011183,5,5.0,1.0,4108000,0,8,8,2,1,6,450000,4,8,1300000.0,0,7
231210040384,10,9.0,3.0,3000000,1000000,8,5,4,3,3,745000,2,5,0.0,700000,6
231710020687,7,3.0,14.0,3500000,700000,8,7,3,3,3,0,2,7,3450000.0,250000,3
231710011390,5,10.0,5.0,1500000,5163400,8,7,5,7,4,450000,3,5,0.0,250000,8
231710011442,5,5.0,1.0,5500100,0,8,4,6,7,6,150000,3,4,3500000.0,200000,8
231710020804,7,12.0,1.0,6442560,0,8,8,3,7,6,75000,2,8,2000000.0,206000,7
231710020155,5,9.0,5.0,2000000,5165100,8,8,3,1,3,550000,3,8,0.0,302000,7
231210061429,10,5.0,9.0,6950700,3000000,8,8,4,5,3,41000,3,8,1200000.0,400000,8
231710021267,7,14.0,1.0,2200000,0,8,5,2,7,8,550000,3,5,3000000.0,450000,6
231710030048,7,7.0,1.0,5000000,0,8,8,2,7,4,0,1,8,0.0,400000,6
231710030421,7,9.0,1.0,2500000,0,8,8,1,4,3,0,2,8,0.0,216500,4
231210081138,10,14.0,5.0,1500000,3050000,8,3,6,4,3,70000,2,3,0.0,290500,6
231710030917,7,12.0,1.0,1000000,0,5,1,4,2,3,50000,2,1,500000.0,500000,2
233640030299,8,13.0,14.0,0,1690000,8,1,4,1,1,120000,5,2,0.0,0,4
231710040627,7,6.0,9.0,9280400,2000000,8,8,2,4,6,150000,2,8,1900000.0,150000,7
233630030044,8,1.0,1.0,0,2000000,8,3,3,3,3,70000,2,1,0.0,200000,5
231710050033,7,1.0,5.0,0,4680500,8,8,2,1,3,500000,4,8,0.0,250000,5
233410060123,8,11.0,1.0,0,0,1,1,6,7,4,375000,3,1,0.0,208700,6
231710050277,7,13.0,6.0,0,3931000,8,8,1,4,3,450000,3,8,0.0,0,5
231210111568,10,9.0,6.0,2500000,4703543,8,8,3,1,3,500000,3,8,0.0,300000,7
233310240179,8,6.0,1.0,6000000,0,8,5,6,4,3,300000,2,5,0.0,160000,7
231710050434,7,11.0,1.0,3000000,0,8,8,2,1,3,285000,2,8,0.0,1000000,4
231210240367,10,1.0,3.0,0,1500000,8,3,2,3,3,50000,1,3,0.0,0,3
233240060657,8,13.0,7.0,0,1500000,8,3,2,2,3,280000,3,8,0.0,1919300,4
233210111480,8,13.0,14.0,0,4000000,8,8,2,1,1,1050000,4,8,0.0,0,7
233210111273,8,6.0,1.0,13000000,0,8,8,3,5,3,450000,3,8,3000000.0,300000,8
233210010104,8,6.0,14.0,20500000,6000000,8,8,5,6,3,1125000,5,8,0.0,300000,6
231710050734,7,3.0,1.0,2000000,0,8,2,4,1,3,200000,1,2,0.0,182000,2
233111120865,8,12.0,12.0,3900000,3600000,8,8,4,7,6,2400000,4,8,800000.0,0,8
231710050985,7,12.0,1.0,2693149,0,8,3,4,5,4,400000,2,3,0.0,200000,4
231710080160,4,11.0,14.0,2000000,0,8,1,6,1,3,200,2,1,0.0,200,2
231710071175,4,3.0,1.0,1000000,0,5,1,3,2,3,0,1,1,0.0,0,2
231710060371,7,1.0,5.0,0,4788400,8,5,5,5,4,0,2,5,0.0,400000,5
231710060563,7,11.0,1.0,2631073,0,8,3,4,4,4,100000,2,3,0.0,145000,3
231710060761,7,1.0,6.0,0,33607600,8,8,4,7,7,1500000,4,8,4000000.0,450000,7
231710060891,7,5.0,5.0,5499300,4625400,8,8,2,5,8,0,3,8,4000000.0,250000,6
231910120714,8,3.0,1.0,1000000,0,5,1,3,2,3,125000,2,5,0.0,280000,3
231910100795,8,13.0,5.0,0,6317700,8,7,5,7,4,270000,3,7,0.0,10000000,7
231810060095,8,6.0,1.0,6208308,0,8,6,5,5,6,70000,4,6,2200000.0,200000,8
231710030296,4,3.0,1.0,2000000,0,8,2,4,4,3,200000,2,3,0.0,300000,4
231710040630,4,3.0,5.0,800000,5439900,8,8,2,3,4,0,1,8,0.0,225000,7
231710050579,4,7.0,1.0,2000000,0,8,3,3,3,3,0,2,3,0.0,300000,4
231710041001,4,3.0,7.0,6000000,2000000,8,8,3,5,5,0,3,8,0.0,750000,8
231710260269,8,6.0,1.0,9825000,0,8,8,5,6,3,285000,3,8,1371500.0,216500,8
233230120318,4,14.0,6.0,1000000,2500000,8,6,3,1,3,325000,4,6,0.0,561000,6
231710061011,7,1.0,5.0,0,5583834,8,6,5,5,3,1200000,2,6,0.0,250000,5
231210220119,8,6.0,5.0,5000000,5500000,8,8,3,3,6,55000,3,8,1800000.0,200000,8
231710250851,8,5.0,5.0,5000000,4000000,8,8,4,4,4,275000,3,8,0.0,450000,8
231710190148,4,14.0,14.0,18363975,2816651,8,8,5,7,6,270000,4,8,1800000.0,200000,8
231710061014,7,6.0,1.0,9646907,0,8,8,3,5,3,688000,3,8,0.0,148500,7
231710090277,4,9.0,1.0,2000000,0,8,2,4,1,3,0,2,2,0.0,200000,5
231710020829,4,13.0,5.0,0,3630000,8,6,3,5,3,500000,2,1,0.0,175000,7
231710070255,7,5.0,5.0,2844008,3916000,8,6,6,2,3,450000,3,6,1100000.0,200000,5
231710041289,4,11.0,14.0,2000000,0,8,5,2,2,3,0,2,5,0.0,200000,4
231510010342,8,9.0,1.0,6500000,0,8,8,3,5,3,0,3,8,0.0,180000,7
231710070667,7,12.0,1.0,4600000,0,8,6,4,5,6,4950000,4,6,2500000.0,111500,7
231710240850,8,6.0,1.0,20824304,0,8,8,5,6,3,250000,3,8,0.0,295000,8
231710150162,4,5.0,5.0,3000000,4000000,8,8,4,4,7,550000,3,8,3400000.0,350000,8
231710060707,4,3.0,1.0,1500000,0,8,2,3,3,3,0,2,2,0.0,0,3
231710240101,8,1.0,5.0,0,3888000,8,7,3,4,6,750000,2,7,2060000.0,0,8
231710080567,4,12.0,1.0,891000,0,4,4,1,1,3,200000,2,4,0.0,200000,2
231710240066,8,12.0,6.0,1800000,6500000,8,8,4,4,3,600000,3,8,0.0,184500,8
231510160384,8,10.0,14.0,5000000,0,8,8,3,8,4,75000,4,8,335000.0,600000,7
231710060038,4,6.0,1.0,3666061,0,8,3,5,4,3,1200000,3,3,0.0,173000,6
231710220790,8,6.0,1.0,3750000,0,8,4,4,6,3,200000,2,4,0.0,169000,6
231710051366,4,5.0,12.0,4699300,4600000,8,8,3,7,6,0,2,8,2500000.0,0,8
231920040192,4,5.0,1.0,3500000,0,8,4,4,2,3,0,2,8,0.0,200,6
231710210163,8,11.0,1.0,2000000,0,8,2,4,1,3,710000,3,2,0.0,0,7
231710200125,8,14.0,1.0,3000000,0,8,3,4,3,3,0,2,3,1200000.0,250000,4
231710030693,9,5.0,1.0,5947500,0,8,8,4,6,4,2000000,3,8,0.0,500000,7
231210240741,10,14.0,14.0,500000,2010000,8,4,3,3,3,70000,2,4,0.0,175000,6
231210240540,2,12.0,1.0,3383700,0,8,3,5,1,3,70000,1,3,0.0,185500,2
231710200066,8,9.0,1.0,2500000,0,8,2,4,1,3,90000,2,2,0.0,200000,3
231710190845,8,7.0,14.0,3000000,9153825,8,8,4,1,3,275000,2,8,0.0,200000,8
231710190774,8,1.0,1.0,500000,0,2,1,4,1,1,0,2,1,0.0,0,2
231510170321,8,12.0,1.0,2000000,0,8,3,3,4,4,0,2,3,0.0,150000,4
231710180183,8,9.0,1.0,3000000,0,8,3,4,4,3,350000,2,3,350000.0,200000,6
231710180140,8,7.0,1.0,2500000,0,8,2,4,2,3,200000,2,2,0.0,125000,4
231710180038,8,5.0,1.0,6257900,0,8,4,7,5,6,0,3,4,2772000.0,327000,7
231710151163,8,5.0,1.0,5287400,0,8,7,4,5,3,0,3,7,1200000.0,250000,7
231710071462,7,5.0,5.0,5259300,4235100,8,8,4,7,7,0,3,8,3000000.0,270000,8
231710140139,8,5.0,1.0,10000000,0,8,8,4,7,5,125000,2,8,1800000.0,250000,8
231710080390,7,6.0,1.0,15000000,0,8,8,5,7,8,550000,4,8,3500000.0,333000,8
231710130853,8,9.0,13.0,5000000,0,8,6,4,7,6,0,3,6,1500000.0,300000,7
231710130749,8,12.0,14.0,0,6792189,8,8,4,1,3,450000,2,8,0.0,190000,7
231710081087,7,1.0,5.0,0,4457600,8,8,2,4,3,250000,3,8,0.0,0,6
231710090022,7,9.0,1.0,50000000,0,8,8,5,8,7,450000,5,8,3000000.0,150000,8
231710130162,8,5.0,5.0,4608000,4691500,8,8,5,5,3,300000,3,8,2500000.0,219000,7
231710090426,7,3.0,1.0,2500000,0,8,2,4,5,4,80000,2,2,0.0,300000,4
231710090823,7,3.0,1.0,3000000,0,8,8,2,3,7,588000,2,8,3986000.0,461000,7
231610050228,8,13.0,5.0,0,4010634,8,7,3,4,3,0,2,7,2500000.0,380000,7
231710130021,8,7.0,1.0,3000000,0,8,5,3,1,3,100000,1,5,0.0,200000,4
231710121151,8,14.0,6.0,18146534,3710742,8,8,4,5,3,700000,3,8,3400000.0,265000,8
231610090013,8,9.0,5.0,3000000,4378100,8,8,3,4,3,300000,2,8,1601000.0,248000,7
231710091255,7,5.0,5.0,3564500,4618900,8,6,7,4,4,0,3,6,0.0,300000,6
231710120234,8,12.0,1.0,4211400,0,8,4,5,2,3,150000,2,4,0.0,0,5
231710100498,7,12.0,1.0,5782876,0,8,8,4,7,7,1400000,3,8,3549000.0,154000,6
231710120196,8,12.0,1.0,12400000,0,8,8,4,7,6,450000,4,8,7705500.0,182000,8
231710120113,7,6.0,5.0,7831000,4927800,8,8,5,7,3,250000,2,8,0.0,230500,6
231710130094,7,13.0,14.0,0,1977698,8,5,2,1,3,100000,3,5,0.0,137000,3
231710120191,8,5.0,1.0,4010634,0,8,5,4,1,6,445000,4,7,1600000.0,300000,6
231710120174,8,6.0,1.0,14000000,0,8,8,5,7,4,540000,2,8,1700000.0,350000,8
231710130824,7,9.0,1.0,10000000,0,8,8,4,1,6,450000,4,8,4000000.0,0,6
231710120030,8,9.0,7.0,1500000,1000000,8,2,5,1,3,0,2,2,1000000.0,200000,3
231710140205,7,12.0,1.0,1000000,0,5,1,5,1,4,330000,2,1,0.0,200000,3
231710111224,8,6.0,7.0,6000000,1500000,8,8,5,1,4,450000,4,8,0.0,600000,7
231710140849,7,5.0,1.0,5500000,0,8,5,5,4,5,300000,2,5,0.0,500000,5
231710150840,7,11.0,14.0,1500000,750000,8,6,2,7,3,100000,3,6,0.0,200000,5
231710111161,8,6.0,1.0,5000000,0,8,8,3,1,4,0,2,8,0.0,202000,7
231710110759,8,1.0,5.0,0,4122600,8,5,4,4,3,0,2,7,0.0,170000,6
231710010286,8,5.0,5.0,7220600,3423900,8,8,5,6,3,285000,2,8,0.0,250000,8
231710110140,8,11.0,1.0,2000000,0,8,2,4,1,3,150000,3,5,0.0,250000,4
231710030638,3,5.0,1.0,3861000,0,8,3,5,4,6,300000,4,3,1200000.0,0,4
231710010724,8,14.0,1.0,30000000,0,8,8,3,7,5,200000,4,8,5000000.0,850000,8
231710011057,8,9.0,14.0,0,4000000,8,7,3,5,3,500000,3,7,0.0,220000,6
231710100904,8,6.0,5.0,2143767,5409200,8,8,5,1,3,450000,3,8,0.0,283000,7
231710101180,8,5.0,5.0,9000000,4000000,8,8,5,5,4,445000,2,8,0.0,520000,8
231710110001,8,6.0,5.0,3399438,9866420,8,8,4,6,7,450000,4,8,3000000.0,200000,8
231310160111,8,6.0,1.0,2500000,0,8,2,5,3,3,0,3,2,0.0,150000,3
231710011253,8,3.0,1.0,4820000,0,8,8,3,5,3,225000,2,8,0.0,215000,7
231710071306,8,11.0,13.0,2500000,0,8,2,4,1,3,260000,3,2,0.0,213000,4
231220050918,8,9.0,14.0,0,1600000,8,1,5,2,1,200000,1,1,0.0,235780,3
231710161248,7,6.0,1.0,14000000,0,8,8,6,7,4,400000,2,8,0.0,250000,7
231710170820,7,1.0,14.0,0,1270000,7,1,4,1,3,0,1,1,0.0,144000,1
231710200815,7,6.0,1.0,5580500,0,8,8,3,4,3,0,2,8,0.0,282000,5
231710250113,7,13.0,5.0,0,4410000,8,8,3,7,4,0,2,8,0.0,180000,6
231810150242,7,3.0,1.0,2500000,0,8,4,3,3,4,75000,1,4,0.0,160000,3
231910060199,7,9.0,1.0,5000000,0,8,6,4,5,4,500000,2,6,0.0,438000,5
233240250029,7,10.0,1.0,8000000,0,8,8,2,8,6,0,4,8,1848000.0,0,8
233410180536,7,5.0,1.0,15700000,0,8,8,4,7,3,600000,3,8,2300000.0,250000,8
233610010167,7,10.0,6.0,3500000,4074939,8,8,4,7,5,450000,3,8,631250.0,191000,8
231331060143,7,7.0,1.0,6000000,0,8,8,4,6,5,350000,3,8,0.0,455000,7
231510070261,7,12.0,5.0,4407500,3764600,8,8,5,1,4,0,4,8,0.0,200000,5
231510180068,7,12.0,5.0,4507500,4119000,8,8,4,4,3,87000,3,8,0.0,217500,5
231710010628,7,12.0,7.0,0,1500000,8,2,3,1,1,0,1,2,0.0,0,1
231710020467,8,6.0,1.0,3711000,0,8,4,4,1,3,275000,2,1,0.0,300000,2
231710011078,7,5.0,5.0,5046500,4081000,8,8,3,6,4,100000,3,8,2600000.0,215000,7
231710020731,7,5.0,5.0,3863100,4250900,8,7,6,3,6,85000,3,7,3000000.0,200000,6
231710020487,8,14.0,6.0,1807222,9000000,8,8,4,5,6,1400000,3,8,2000000.0,250000,8
231710021019,7,6.0,14.0,8000000,7500000,8,8,2,8,8,435500,4,8,2789000.0,218000,8
231710021259,7,12.0,14.0,0,3100000,8,2,5,5,4,70000,2,2,0.0,180000,3
231710030738,7,13.0,14.0,0,1200000,6,1,3,1,6,550000,2,1,2500000.0,0,3
231710040056,7,13.0,7.0,0,2500000,8,4,3,5,3,100000,2,4,0.0,173000,3
